date,label,prompt_id,model,text_encoder,lora,lora_strength,attn_backend,opt_nodes,shift,head_chunks,chunkff,steps,sampler,scheduler,seed,peak_vram_mib,peak_ram_used_gb,peak_pagefile_gb,peak_power_w,peak_temp_c,wall_sec,sec_load,sec_denoise,sec_post,sec_total,blocks_logged,seconds_per_block,tespeed,completed,crashed,process_crash,quality_note
2026-09-16 18:32,SMOKE-Fast-5s,2424fa9b-d230-48d1-9071-d9e3f09df224,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings|TESpeedMiniMaxH3,12.0/3.0,10,4/4096,4,euler,simple,12345,6799,14.85,27.4,96.9,80,197.2,15.0,136.0,37.0,189.0,150,0.91,25.0%,True,False,False,冒烟测试，不看画质
2026-09-16 18:39,SMOKE-Balanced-5s,2d5ded92-6ebb-42ec-92a0-e31749271b31,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,8,euler,simple,12345,7377,14.75,30.38,104.4,83,411.6,11.0,354.0,41.0,407.0,400,0.89,,True,False,False,冒烟测试，验证 Balanced 也能跑通
2026-09-16 18:50,A1-steps4,7d23084b-02a5-4c8a-bdbb-1c99a2a9f960,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,4,euler,simple,12345,7643,14.46,28.74,122.2,81,531.1,17.0,431.0,79.0,529.0,200,2.17,,True,False,False,步数 4。与旧工作流同为 4 步，但 LoRA@1.0 + kitchen 注意力 + 无 TE-Speed
2026-09-16 19:10,A1-steps4,4a040290-c4a0-44d6-9bd5-19de42267f5c,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,4,euler,simple,12345,7541,14.61,28.88,100.7,84,537.6,14.0,442.0,78.0,536.0,200,2.22,,True,False,False,步数 4。与旧工作流同为 4 步，但 LoRA@1.0 + kitchen 注意力 + 无 TE-Speed
2026-09-16 19:27,A1-steps4,14995b78-1a66-4451-af68-8a6d53e3c6de,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,4,euler,simple,12345,7621,14.26,28.97,103.1,84,538.5,16.0,438.0,79.0,536.0,200,2.2,,True,True,False,步数 4。与旧工作流同为 4 步，但 LoRA@1.0 + kitchen 注意力 + 无 TE-Speed
2026-09-16 19:34,As1-steps4-5s,d4a3e0f1-279d-4504-a8d4-826f76879760,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,4,euler,simple,12345,7320,14.53,29.36,127.6,82,245.3,17.0,187.0,38.0,244.0,200,0.94,,True,False,False,5秒/4步。与 10 秒版 A1 对照可验证时长-耗时比例
2026-09-16 19:40,As2-steps6-5s,fbe6ec5d-9c61-4252-bb49-a4fe09814593,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,6,euler,simple,12345,7370,14.22,29.46,104.1,83,297.4,12.0,240.0,35.0,289.0,300,0.8,,True,False,False,5秒/6步
2026-09-16 19:47,As3-steps8-5s,5c7fd25a-1541-4cde-9b8b-b264c0fd0edd,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,8,euler,simple,12345,7366,13.64,29.36,122.1,83,377.9,12.0,319.0,35.0,369.0,400,0.8,,True,True,False,5秒/8步 = Balanced 默认档
2026-09-16 20:01,As4-steps20-5s,fb6729e3-bdb9-469e-be1b-c7179d521c64,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,,,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,20,res_multistep,simple,12345,7376,13.5,29.61,119.9,84,785.3,13.0,,,784.0,0,,,True,False,False,5秒/20步无 turbo = 官方基线质量参照点（本组最慢，约 17 分钟）
2026-09-16 20:13,B1-4step-noTESpeed,fdfb7886-bbb5-41a5-b4fb-6110caa106df,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,4,euler,simple,12345,7392,14.56,29.4,110.9,82,249.1,15.0,189.0,41.0,245.0,200,0.95,,True,False,False,【基准】4步 LoRA@1.0 无TE-Speed。与 B2 构成 TE-Speed 的唯一变量对照
2026-09-16 20:17,B2-4step-TESpeedON,61216c7b-3c49-4469-b4b9-f9c4a8ecc61b,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings|TESpeedMiniMaxH3,12.0/3.0,10,4/4096,4,euler,simple,12345,7456,14.45,28.91,101.1,83,203.7,14.0,146.0,40.0,200.0,150,0.98,25.0%,True,False,False,【TE-Speed 开】与 B1 同配置，唯一差异是 TE-Speed。用来量化它值多少秒、损失多少画质
2026-09-17 12:14,Q2-promptfixed-20step,d3a6f7d9-9934-4893-a239-1cf1df4deca1,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,,,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,20,res_multistep,simple,12345,7595,13.9,27.31,104.9,84,2282.6,19.0,2192.0,66.0,2277.0,0,,,True,False,False,修正版提示词。重点看：(1) 后 3 秒是否还有主体；(2) 特写脸部是否有五官；(3) 推镜幅度是否受控
2026-09-17 12:36,V1-9x16-crf12-4step-5s,6fbf9434-09db-47f3-bea8-cd01ba09ac17,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,minimax_h3_turbo_v4_step600_comfyui_T8-convert.safetensors,1.0,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,4,euler,simple,12345,7372,14.75,27.52,105.7,84,303.9,22.0,225.0,51.0,298.0,200,1.131,,True,False,False,验证 9:16/768x1344 + CRF12。重点看输出分辨率与码率
2026-09-17 13:31,Q3-20step-9x16-crf12-promptfixed,173b348f-19a0-4287-a3f8-985b2f72220d,minimax_h3_fl2va_pruned_int8_convrot.safetensors,qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors,,,comfy kitchen attention,MiniMaxChunkFeedForward|MiniMaxLowVRAMAttention|ModelAttentionBackend|ModelPatchTorchSettings,12.0/3.0,10,4/4096,20,res_multistep,simple,12345,7384,14.08,26.99,120.3,85,2560.4,20.0,2442.0,92.0,2554.0,0,,,True,False,False,20步 / 9:16 768x1344 / CRF12 / 修正版提示词。用户肉眼评审
